candidate_id,escaped_backbone,denominators,min_denominator,max_denominator,length,gap_pattern,exact_sum,sum_minus_1,kill_mask,kill_primes,kill_count,first_killing_prime,covering_third_primes,contains_37_38,contains_61_62,contains_adjacent_factor_pair,valuation_profile_p2,top_layer_residue_sum_p2,valuation_profile_p13,top_layer_residue_sum_p13,valuation_profile_p17,top_layer_residue_sum_p17,valuation_profile_p19,top_layer_residue_sum_p19,valuation_profile_p31,top_layer_residue_sum_p31,valuation_profile_p37,top_layer_residue_sum_p37,valuation_profile_p41,top_layer_residue_sum_p41,valuation_profile_p47,top_layer_residue_sum_p47,valuation_profile_p53,top_layer_residue_sum_p53,valuation_profile_p59,top_layer_residue_sum_p59,valuation_profile_p61,top_layer_residue_sum_p61,source_chunk,source_csv
S10_10:3876,19+37,10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,10,34,18,1;1;1;1;2;1;1;2;1;1;1;1;2;2;2;2;2,561271189/563603040,-2331851/563603040,258943,2;3;5;7;11;13;17;23;29;41;43;47;53;59;61,15,2,19+37->2;3;5;7;11;13;17;23;29;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=13;26,8,max=1;tops=17;34,10,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,1,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,1,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,1,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,20,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,28,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,28,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,0,max=0;tops=10;11;12;13;14;16;17;18;20;21;22;23;24;26;28;30;32;34,41,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:21878,19+37,10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,10,36,20,1;1;1;2;2;1;2;1;2;2;1;1;2;1;2;1;1;1;1,246132602561/245167322400,965280161/245167322400,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=13;26,8,max=1;tops=17;34,10,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,1,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,13,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,1,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,32,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,26,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,26,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,36,max=0;tops=10;11;12;13;15;17;18;20;21;23;25;26;27;29;30;32;33;34;35;36,6,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:35992,19+37,10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,10,36,19,1;1;2;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2,339841291/338161824,1679467/338161824,259963,2;3;7;11;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,1,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,11,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,1,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,30,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,30,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,14,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,38,max=0;tops=10;11;12;14;15;16;17;18;20;21;23;24;26;27;28;30;32;34;36,56,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:36470,19+37,10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,10,33,19,1;1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1,1200622877/1201610592,-987715/1201610592,259947,2;3;7;13;17;23;29;31;41;43;47;53;59;61,14,2,19+37->2;3;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17,1,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,1,max=1;tops=31,1,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,1,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,14,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,23,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,31,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,24,max=0;tops=10;11;12;14;15;16;17;18;20;22;24;26;27;28;29;30;31;32;33,11,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:47420,19+37,10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,10,35,19,1;1;2;1;2;1;2;1;1;1;1;1;2;2;1;1;2;2,13166406103/13287040200,-120634097/13287040200,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=3;tops=24,1,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,9,max=1;tops=17,1,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,1,max=1;tops=31,1,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,1,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,19,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,44,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,21,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,24,max=0;tops=10;11;12;14;15;17;18;20;21;22;23;24;25;27;29;30;31;33;35,0,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:69231,19+37,10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,10,35,20,1;1;2;2;1;1;2;2;1;1;1;1;2;1;1;1;1;2;1,2550198988027/2533395664800,16803323227/2533395664800,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,1,max=1;tops=31,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,36,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,28,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,21,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,55,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;29;30;31;32;34;35,33,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:69269,19+37,10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,10,36,20,1;1;2;2;1;1;2;2;1;1;1;1;2;2;1;2;1;1;1,1322264143/1323613200,-1349057/1323613200,259949,2;5;7;13;17;23;29;31;41;43;47;53;59;61,14,2,19+37->2;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,1,max=1;tops=31,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,23,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,17,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,25,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,49,max=0;tops=10;11;12;14;16;17;18;20;22;23;24;25;26;28;30;31;33;34;35;36,48,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:69681,19+37,10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,10,36,20,1;1;2;2;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2,689668013551/690926090400,-1258076849/690926090400,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,1,max=1;tops=31,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,1,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,15,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,6,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,34,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,45,max=0;tops=10;11;12;14;16;17;18;20;22;23;25;26;27;28;29;31;32;33;34;36,6,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:133950,19+37,10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,10,35,19,1;2;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;1,8443256659/8454045600,-10788941/8454045600,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=13,1,max=1;tops=17;34,10,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,1,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,13,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,1,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,29,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,34,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,13,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,17,max=0;tops=10;11;13;14;15;16;17;18;20;22;23;24;25;27;28;30;32;34;35,37,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
S10_10:591499,19+37,10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,10,31,19,2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1,222621266789/223534911600,-913644811/223534911600,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=13;26,8,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,11,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,1,max=1;tops=31,1,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,1,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,25,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,37,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,18,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,55,max=0;tops=10;12;13;14;15;16;18;20;21;22;23;24;25;26;27;28;29;30;31,55,S10_10,artifacts/results/anomalies_N65_candidates_S10_10.csv
